case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h043,2001-09-18_r64,2001-09-18_r64_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,"Corresponde considerar en conjunto los órdenes del día que contienen proyectos de comunicación, resolución y declaración sin observaciones, sin perjuicio de que en el Diario de Sesiones figuren como de",,
h044,1999-03-24_r04,1999-03-24_r04_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,Corresponde considerar el dictamen de la Comisión de Asuntos Administrativos y Municipales en el proyecto de ley del señor senador de la Sota y en el proyecto de ley del,,
h045,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).,yes,"Se va a votar la moción de la señora senadora Fernández de Kirchner, en el sentido de posponer para después del tratamiento de la reforma política la discusión en particular",,
h046,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem).,yes,Corresponde considerar el dictamen de la Comisión de Presupuesto y Hacienda en el proyecto de comunicación del señor senador Ortega por el que se solicita un subsidio para el Sindicato,,
h047,2002-05-30_r13,2002-05-30_r13_ORDINARIA.html,,Sr. Morales,Sr. Morales.,yes,"Señor presidente: estamos nuevamente tratando la propuesta de derogación de la ley de subversión económica, que es ciertamente una ley emblemática, porque tiene que ver con el ""corralito"" y con",,
h048,2000-08-23_r46,2000-08-23_r46_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud).,yes,Le solicita una interrupción el senador Cafiero.,,
h049,2003-02-27_r01,2003-02-27_r01_PREPARATORIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja).,yes,Queda abierta la sesión preparatoria.,,
h050,2002-12-18_r39,2002-12-18_r39_EXTRAORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).,yes,"En consecuencia, pasa al Archivo.",13 of 20,"which_occurrence said ""13 of 20"" but my literal-text search finds 25 occurrences of ""En consecuencia, pasa al Archivo."" in this file, not 20 -- possible mismatch in how occurrences are counted (e.g. tag-stripping differences). Doesn't affect the answer: all 25 occurrences I inspected are spoken by the same Sr. Presidente (López Arias), including the 13th by either counting convention."
h051,2000-08-16_r44,2000-08-16_r44_ESPECIAL.html,,Sr. Presidente,Sr. Presidente. --,yes,"Disculpe, señor senador Vaquir. ¿Puede esperar unos instantes?",,
h052,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sra. Avelín,Sra. Avelín. --,yes,¿Me permite una interrupción?,,
h053,1999-12-28_r72,1999-12-28_r72_ESPECIAL.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Disculpe, señor senador. Quería avisar a sus colegas que si se retiran del recinto nos quedamos sin quórum y debemos votar en particular este dictamen. Para ello, deben ocupar sus",,
h054,2000-08-02_r38,2000-08-02_r38_ORDINARIA.html,,Sr. Secretario (Pontaquarto),Sr. Secretario (Pontaquarto) . --,yes,(Lee:),96 of 134,"My own count of exact '(Lee:)' occurrences on the page is 144, not the 134 the batch's which_occurrence implies; occurrence 96 by my count is nonetheless mid-way through an unbroken run of ~135 instances all preceded by the identical label 'Sr. Secretario (Pontaquarto) . --' (the only other speaker doing this anywhere in the file is 'Sr. Prosecretario (Colombo)', at position #141 of 144, far past the 96th), so the count mismatch does not change the answer."
h055,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",63 of 133,
h056,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. MENEGHINI,Sr. MENEGHINI.-,yes,"...por haber sido aludido, desearía hablar...",,
h057,2003-07-02_r14,2003-07-02_r14_ORDINARIA.html,,Sra. Fernández de Kirchner,Sra. Fernández de Kirchner. --,yes,"Es evidente que nadie puede impedir que alguien presente un proyecto de modificación y reúna los cuarenta y ocho votos que se requieren para tal efecto. De cualquier manera, creo",,
h058,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias) . --,yes,Queda aprobada la resolución. Se procederá en consecuencia.,3 of 8,
h059,2003-06-04_r10,2003-06-04_r10_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja) . --,yes,Corresponde considerar el dictamen de la Comisión de Ambiente y Desarrollo Sustentable en el proyecto de declaración de la señora senadora Curletti y del señor senador Moro por el que,,
h060,2002-01-17_r81,2002-01-17_r81_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Queda constituida la Cámara en comisión y confirmadas las autoridades para la conferencia.,,
h061,2001-06-13_r38,2001-06-13_r38_ORDINARIA.html,,Sr. Agúndez,Sr. Agúndez.,yes,No se ha aprobado el tratamiento sobre tablas.,,"Passage follows 'Sr. Molinari Romero.- No hay dos tercios.' and the Presidente's own 'Queda aprobado el tratamiento sobre tablas' -- the actual speaker of the quoted line is Agúndez, contradicting the chair a beat later."
h062,2001-06-13_r38,2001-06-13_r38_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem) . --,yes,"Tiene la palabra el señor senador por el Chaco, del bloque justicialista.",,
h063,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem) .-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,8 of 21,
h064,1998-09-16_r47,1998-09-16_r47_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA.-,yes,Sí. Ese fue el concepto.,,
h065,2002-05-30_r13,2002-05-30_r13_ORDINARIA.html,,Sr. Gioja,Sr. Gioja .--,yes,"¿Me permite una interrupción, señor senador?",,
h066,1999-11-24_r62,1999-11-24_r62_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de las comisiones de Educación y de Presupuesto y Hacienda en el proyecto de comunicación del señor senador Avelín por el que se solicita un subsidio,,"No which_occurrence given. The exact string (truncated mid-sentence at 'Avelín') recurs 7 times on the page because senator Avelín proposed several similar communications in the same sitting; I took the first occurrence, which is a school-subsidy bill for 'Gabriela Mistral' de San Juan, all under the same speaker label."
h067,2002-09-04_r22,2002-09-04_r22_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,"Para una moción de orden, tiene la palabra el señor senador Baglini.",,
h068,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias) . --,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,3 of 4,
h069,2002-08-28_r21,2002-08-28_r21_ORDINARIA.html,,Sr. Walter,Sr. Walter. --,yes,"Señor presidente: como bien manifestaban quienes recién hicieron uso de la palabra, el proyecto sancionado por la Cámara de Diputados, y que viene en revisión a este cuerpo, propone prorrogar",,
h070,2003-06-04_r10,2003-06-04_r10_ORDINARIA.html,,Sr. Pichetto,Sr. Pichetto. --,yes,"Tratemos de ordenar la sesión, señor presidente.",,
h071,2001-09-18_r64,2001-09-18_r64_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,Señores senadores: ruego que no dialoguen. Tiene la palabra el señor senador Verna.,,
h072,2001-08-08_r50,2001-08-08_r50_ORDINARIA.html,,Sr. Corach,Sr. Corach. --,yes,"Está bien, señor presidente.",,
h073,2003-02-26_r41,2003-02-26_r41_EXTRAORDINARIA.html,,Sr. Prades,Sr. Prades. --,yes,"Señor presidente: voy a ser breve. Mientras escuchaba las expresiones del señor senador preopinante observaba que siempre se vuelve a ver lo malo del radicalismo, ...",,
h074,1998-09-23_r48,1998-09-23_r48_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Corresponde considerar el dictamen de la Comisión de Asuntos Administrativos y Municipales en el proyecto de ley de los señores senadores Sala y Mac Karthy por el que se transfiere,,"No parenthetical name on this label (unlike most others in the same file, which read 'Sr. PRESIDENTE (Menem)'); quoted exactly as printed."
h075,1998-10-07_r51,1998-10-07_r51_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de la Comisión de Agricultura y Ganadería en el proyecto de declaración del señor senador Del Piero por el que se adhiere a las celebraciones del,,
h076,2000-12-20_r70,2000-12-20_r70_EXTRAORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,"Queda aprobada la modificación del plan de labor. Cuando se termine con el tratamiento de los temas indicados, la Presidencia someterá a votación la moción formulada por el señor senador",,
h077,1999-03-24_r04,1999-03-24_r04_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA.-,yes,"Señor presidente: habría que efectuar una modificación en este proyecto. Concretamente, propongo que se reemplacen las palabras ""a realizarse"" por las siguientes: ""que se realiza"".",,
h078,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sra. Müller,Sra. Müller. --,yes,Señor presidente: pido autorización para la inserción de mi discurso sobre el Día Internacional de la Mujer.,,
h079,2000-09-07_r50,2000-09-07_r50_ORDINARIA.html,,Sr. Presidente (Genoud),Sr. Presidente (Genoud). --,yes,"Señor senador: debo explicar que el pedido de la bancada justicialista, a fin de que viniera el ministro le complicó totalmente su agenda al doctor Machinea. De manera que el",,
h080,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Tiene la palabra la señora senadora Seguí.,,
h081,1999-12-28_r71,1999-12-28_r71_ESPECIAL.html,,Sr. MAYA,Sr. MAYA.-,yes,No hay depositantes con miedo...,,Brief interjection cutting off Sr. Moreau's speech.
h082,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. CAFIERO,Sr. CAFIERO.-,yes,Señor presidente: voy a pedir disculpas a este cuerpo por solicitarle que se aparte por un minuto de esta discusión para proceder al envío inmediato de la sanción que hemos,,
h083,2002-10-23_r30,2002-10-23_r30_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Queda aprobada la declaración. Se procederá en consecuencia.,43 of 75,
h084,2002-09-25_r25,2002-09-25_r25_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,"Corresponde considerar el tratamiento sobre tablas del dictamen, no impreso, de la Comisión de Defensa Nacional en el proyecto de declaración del señor senador Martí por el que se declara",,
h085,2003-04-09_r06,2003-04-09_r06_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,Tiene la palabra el senador Agúndez.,,
h086,2001-05-03_r24,2001-05-03_r24_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada). --,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",49 of 55,
h087,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Para una interrupción tiene la palabra el señor senador por La Rioja.,,
h088,2002-03-05_r02,2002-03-05_r02_ESPECIAL.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Tiene la palabra el señor senador Cafiero.,,
h089,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. MENEM,Sr. MENEM.-,yes,"Empecé mi discurso utilizando las palabras ""con satisfacción"" porque esta es una nueva ratificación de la vocación pacifista de nuestro país. Es un tema entroncado con la política internacional de",,"This label sits inside an inserted document, not live floor debate: the senator said “Voy a pedir la inserción de otras consideraciones,” a stenographer's note reads “-El texto de la inserción solicitada es el siguiente:”, then a “Texto de la inserción” heading, and only then “Sr. MENEM.-” with the quoted passage. The label is printed, so I recorded it, but the text is the inserted (unread) portion of his remarks, not spoken aloud."
h090,2000-04-12_r13,2000-04-12_r13_ORDINARIA.html,,Sr. Presidente,Sr. Presidente. --,yes,Tiene la palabra el señor senador por Corrientes.,,Printed here with no parenthetical name (elsewhere in other sessions it appears as “Sr. Presidente (X)”).
h091,1998-03-04_r02,1998-03-04_r02_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,"Señor presidente: quiero hacer una muy breve aclaración. La contradicción con la ley de contrato de trabajo es que ésta, en su artículo 82, coloca la titularidad de los derechos",,
h092,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún).-,yes,(Lee:),3 of 73,"Occurrence count of “(Lee:)” in the file: I found 75 (both raw-HTML and tag-stripped counts agree), not 73 as the batch's which_occurrence denominator states. The first three occurrences are unambiguous and consistent regardless of this discrepancy, so the 3rd-occurrence answer should still be correct, but flagging the count mismatch for the maintainer."
h093,2003-10-29_r28,2003-10-29_r28_TRIBUNAL_DE_JUICIO_POLITICO.html,,Sra. Fernández de Kirchner,Sra. Fernández de Kirchner. —,yes,"Señor presidente: en el artículo 4̊, donde precisamente se empieza a proveer la prueba de la defensa, vamos a sugerir una modificación. “Prueba Informativa” quedaría como punto 2 —sería el",,"The source renders “artículo 4°” and similar ordinals as “4̊” (digit followed by a combining ring/circumflex diacritic) rather than a degree sign — looks like an encoding quirk in this particular file (a 2003 TRIBUNAL_DE_JUICIO_POLITICO transcript with different markup/CSS style than the usual FONT-tag files), worth a look."
h094,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,Aprobado por unanimidad. En consideración el artículo 3. Por Secretaría se dará lectura.,,
h095,2002-09-04_r22,2002-09-04_r22_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias).--,yes,Señor senador Passo...,,
h096,2002-08-01_r17,2002-08-01_r17_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda). --,yes,Tiene la palabra el señor senador Capitanich.,3 of 6,
h097,1998-06-10_r24,1998-06-10_r24_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,"Entonces, si usted coincide con el señor senador, ¿por qué no deja votar, señor senador?",,
h098,2000-12-07_r69,2000-12-07_r69_EXTRAORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (León). --,no,Tiene la palabra el señor senador Gioja.,4 of 7,"the sheet's old occurrence count sent the reader to a different printing of the same stock phrase; the page prints the parser's label immediately before every block the parser gives it (checked, this file) | reader: Count mismatch: I found 8 occurrences of “Tiene la palabra el señor senador Gioja” in this file (verified two ways: tag-tolerant regex on raw decoded text, and a fully tag-stripped plain-text search), not 7 as the batch's which_occurrence denominator implies. All 8 are genuine distinct occurrences (not duplicated markup/TOC artifacts) — I checked each one's surrounding context. Taking the 4th in document order gives “Sr. Presidente (León).”, which stands out because every other occurrence in this file is under “Sr. Presidente (Losada)” — a different presiding senator. If the intended numbering excludes one of the 8 for some reason, the true 4th could instead be the 5th in my list, still “Sr. Presidente (Losada). --”. Flagging for the maintainer to check the occurrence-counting method."
h099,2001-03-28_r13,2001-03-28_r13_ORDINARIA.html,,Sr. Alasino,Sr. Alasino. --,yes,Señor presidente: si el miembro informante fuera la diputada Carrió llamaría a las 4 de la mañana al presidente de la Nación. No desaprovechen la oportunidad. Mediáticamente ha tenido mucho,,
h100,2003-06-04_r10,2003-06-04_r10_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja). --,yes,"Tiene la palabra, en primer término, la senadora Colombo.",,
h101,1999-12-15_r68,1999-12-15_r68_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"En consecuencia, pasa al Archivo.",1 of 7,
h102,1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA.-,yes,Solicito se declare cerrada la conferencia.,,
h103,2002-09-04_r22,2002-09-04_r22_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias). --,yes,Tiene la palabra la señora senadora Bar.,,
h104,2002-04-04_r04,2002-04-04_r04_ORDINARIA.html,,Sr. Presidente (Maqueda),Sr. Presidente (Maqueda) . --,yes,Tiene la palabra la señora senadora Müller.,,
h105,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Como hay asentimiento, el proyecto de comunicación será girado a las comisiones de Obras Públicas y de Transportes, y también a la Comisión de Presupuesto y Hacienda.",,
h106,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. VAQUIR,Sr. VAQUIR.-,yes,"Sí, señor presidente. Evidentemente, hay diferentes formas de exponer. Nosotros, los médicos, no tenemos tanta experiencia para el manejo de las exposiciones dialécticas. Quizá por ese motivo, mi modalidad se",,
h107,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por Salta.,,
